"Name","id.review","Text","Neg or Pos","Province","Type"
"Hotel 162",51,"struttura eternamente pulita tutto in ordine e con gusto","Pos","Cagliari","4-Star"
"Hotel 278",141,"ascensore  il pannello   touch ma non funziona  manutenzione  ","Neg","Cagliari","3-Star"
"Hotel 537",58,"se proprio volessi cercare il pelo nell uovo  migliorerei la manuntenzione nelle stanze ","Neg","Sassari","4-Star"
"Hotel 171",134,"la posizione","Pos","Oristano","4-Star"
"Hotel 37",321,"the restaurant is excellent and the overall atmosphere is warm and relaxed ","Pos","Oristano","3-Star"
"Hotel 96",125,"bagno piuttosto angusto    ","Neg","Ogliastra","3-Star"
"Hotel 517",210,"air conditioning was acceptable but we had only minimal control over temperature  it is a long walk into town but good exercise ","Neg","Olbia-Tempio","3-Star"
"Hotel 99",131,"mancava un ascesore cosa che comunque non incide sul mio giudizio ultra positivo","Neg","Cagliari","4-Star"
"Hotel 57",78,"very poor wifi connection  nothing in the cottage  it is the most imoprtant nowadays   mainly with teens  no bars on the beaches   except one  the variety of the foods are poor  one type of fish and meat for every evening   not a big chance  there were no electric socket near to our beds  just one for the aircon and one for the minibar and for the tv  nothing more in the room ","Neg","Ogliastra","4-Star"
"Hotel 241",72,"hotel tranquillo e comodo","Pos","Oristano","3-Star"
"Hotel 515",66,"pulizia e camera nuova e accogliente  buona cucina e colazione  con booking  rapporto qualit   prezzo ottimo senza no ","Pos","Olbia-Tempio","4-Star"
"Hotel 117",8,"la struttura  buona la colazione anche se di prodotti ogliatrini  come recita il sito  neanche l ombra  stanza confortevole e pulita","Pos","Oristano","4-Star"
"Hotel 455",84,"air conditioning","Pos","Olbia-Tempio","4-Star"
"Hotel 71",91,"ottimo rapporto qualit  prezzo  ottima colazione  personale molto gentile ","Pos","Oristano","3-Star"
"Hotel 254",22,"shower water pressure could be a little higher ","Neg","Carbonia-Iglesias","Other Facilities"
"Hotel 439",265,"super staff  location was central to activities","Pos","Olbia-Tempio","4-Star"
"Hotel 434",120,"excellent location in central olbia with a fabulous roof terrace   the best view in town  our room was spacious and well equipped  the staff are not only skilled but also proactively helpful and friendly  highly recommended ","Pos","Sassari","4-Star"
"Hotel 262",76,"l albergo   in un ottima posizione nel piccolo paese di santa maria navarrese  personale sin da subito accogliente  competente e disponibile  massima professionalit   ottimo il parcheggio sotterraneo  grazie marco per i suggerimenti sulla splendida escursione a cala mariolu   grotta del fico   cala biriola    torneremo sicuramente","Pos","Cagliari","1-Star"
"Hotel 45",38,"very helpful and friendly receptionist  room and bathroom were very nice and clean  breakfast was excellent  in the hotel we could rent a bicycle and we did a very pleasant tour around the city  i reccomend the hotel to everyone ","Pos","Medio Campidano","Other Facilities"
"Hotel 459",19,"pulizia nei limiti del possibile   arredi e sanitari  vecchi e moquette vecchia  e staff cordiale  ristorante appena fuori la struttura comodo","Pos","Olbia-Tempio","4-Star"
"Hotel 145",90,"the saff are all helpful  kind and professional  all are so kind even to my baby so we really appreciate  we definately will come back this hotel when we come to pelosa ","Pos","Cagliari","3-Star"
"Hotel 221",49,"le torte e il pane per colazione a kilometro 0   speciali  poche camere  ideale per chi deve staccare dalla citt  e vuole tanta tranquillit  ","Pos","Ogliastra","3-Star"
"Hotel 89",41,"eccellente posizione  farta colazione  si trova in una strada che   allo stesso tempo tranquilla e molto centrale  vicino al centro e molto comoda per spostarsi a tutte le spiagge di quella zona ","Pos","Cagliari","Other Facilities"
"Hotel 208",29,"ground floor room  107  has view if side of next hotel  so no view and no use ","Neg","Ogliastra","4-Star"
"Hotel 208",57,"good breakfast  good beds  great location","Pos","Ogliastra","4-Star"
"Hotel 195",106,"posizione","Pos","Cagliari","Other Facilities"
"Hotel 180",53,"l ubicazione consente di raggiungere agevolmente l aeroporto  i traghetti e tutte le strade principali per le spiagge ","Pos","Cagliari","3-Star"
"Hotel 22",24,"proprietari gentilissimi  colazione superlativa  camera freschissima   buona pulizia  camera ben arredata  consigliato ","Pos","Nuoro","Other Facilities"
"Hotel 107",178,"camere curate nei minimi dettagli  pulite e accoglienti  personale davvero cortese  disponibile e pronto a soddisfare ogni esigenza anche lady minute  abbiamo per esempio chiesto se potessero prestarci un ferro da stiro e ce l hanno fornito immediatamente   colazioni favolose   davvero varie ","Pos","Cagliari","3-Star"
"Hotel 132",114,"the activities and the ambience and staff are excellent","Pos","Cagliari","4-Star"
"Hotel 87",22,"confortevole  silenzioso colazione assortita","Pos","Cagliari","1-Star"
"Hotel 148",66,"il materasso","Pos","Cagliari","3-Star"
"Hotel 469",282,"buone le torte a colazione","Pos","Sassari","3-Star"
"Hotel 591",43,"la gentilezza e simpatia del personale  la pulizia","Pos","Olbia-Tempio","3-Star"
"Hotel 237",107,"posizione decentrata","Neg","Cagliari","3-Star"
"Hotel 312",2,"first impressions weren t great as the hotel is the same building as a bar where locals hang out  it s also in the middle of nowhere a bit ","Neg","Cagliari","Other Facilities"
"Hotel 316",16,"posizione al mare wifi pulizia","Pos","Cagliari","5-Star"
"Hotel 326",34,"our room was quite cramped ","Neg","Olbia-Tempio","4-Star"
"Hotel 448",237,"la mancanza del box doccia   la tendina fa allagare il bagno ogni volta ed   poco igienico ","Neg","Nuoro","3-Star"
"Hotel 287",156,"the gardens and patios for lounging were excellent ","Pos","Cagliari","3-Star"
"Hotel 361",29,"use of outdoor swimming pool can be restrictive when they have a function  reception  on in the pool area   this happened on 3 nights of our stay from afternoon to early evening  however the local beach is only a few minutes walk down the road and an excellent alternative  none of the functions around the pool went on for late and there was no issue with noise   would certainly not put us off booking again ","Neg","Nuoro","2-Star"
"Hotel 501",34,"l ospitalit ","Pos","Olbia-Tempio","3-Star"
"Hotel 119",119,"la posizione dell hotel a 10 minuti a piedi dal centro storico  colazione camere ampie e confortevoli","Pos","Nuoro","3-Star"
"Hotel 546",14,"foreign languages with the service  sholud be improved for better service  i m not so demanding  but others can ","Neg","Olbia-Tempio","3-Star"
"Hotel 545",222,"ottima colazione  bella la stanza  centro benessere fantastico  piscina esterna molto bella e verde molto curato  tutto funzionale ","Pos","Olbia-Tempio","3-Star"
"Hotel 81",17,"carina la camera  tutto pulito  ottima il panorama per la colazione ","Pos","Oristano","Other Facilities"
"Hotel 159",137,"corte fiorita is based across two buildings  both perfectly located  we were assigned to the building in the back streets  it is located in a beautiful little yard with the best restaurant in town at the doorstep  well recommended    we were upgraded to a room on the top floor with a private roof top terrace with a view over the city and castle hill  perfect place for sunset watching  there is a lot of parking around the main hotel building on the river front and one of friendly hotel staff will give you and your luggage a lift with their electric car to the building based in centre  if that s where you re assigned to   very handy ","Pos","Cagliari","3-Star"
"Hotel 424",33,"niente di negativo   tranquillo come ambiente ma soprattutto ottima l accoglienza del personale grande disponibilit     ","Pos","Sassari","3-Star"
"Hotel 257",55,"ci hanno dato una camera nel seminterrato senza finestre nei bagni e con il balcone che ridava su una collina  era pi  il tempo che passavamo ad ammazzare insetti che a riposarci  il cellulare in camera non prendeva e appena arrivati ci hanno fatto pagare una tessera obbligatoria di cui non eravamo a conoscenza di ben 5  al giorno a persona per servizi di cui non avremmo mai usufruito se non del wi fi che per  era limitato a 2 ore al giorno e in camera comunque non prendeva  la colazione ci ha deluso e sia il bar che il ristorante non erano all altezza di un hotel a 4 stelle  non ci torneremo sicuramente ","Neg","Cagliari","2-Star"
"Hotel 354",44,"nothing comes to mind   although in the description it did say sea view   this does not necessarily mean beachside or an uninterrupted view of the sea ","Neg","Olbia-Tempio","3-Star"
"Hotel 195",98,"semplicit ","Pos","Cagliari","Other Facilities"
"Hotel 235",22,"ottima posizione ","Pos","Cagliari","Other Facilities"
"Hotel 609",12,"difficolt  di spostamento e approvvigionamento se non si   in macchina e personale di reception poco disponibile  non maleducato  ma un po   ingessato  e poco disponsto a venire incontro al cliente  siamo arrivati a inizio stagione e molte cose erano ancora in via di assestamento  comprensibile  anzi  fa piacere vedere che la struttura venga mantenuta con impegno  per  molti dei servizi che erano segnalati come presenti al momento della prenotazione  e anche per i quali abbiamo scelto questa struttura  non erano attivi  market  ristorante  piscina grande  c era solo quella dei bambini alta 90cm  senza bagni funzionanti in zona   e wi fi spesso non funzionante  anche la zona lavatoio dei bagni dei campeggi  che sarebbe stata utile  era ancora da pulire e inutilizzabile  abbiamo provato a far presente che ci sarebbe piaciuto sapere in anticipo quali servizi non sarebbero stati attivi in modo da regolarci e organizzarci  soprattutto in virt  del fatto avevamo scelto di viaggiare a piedi e quindi avevamo mobilit  molto limitata  e tutto quello che   stato fatto   stato offrirci servizi di partner a pagamento che non rispondevano alle nostre esigenze pratiche e aprirci la porta del market ancora da allestire per vedere se qualcosa dei soli prodotti a lunga conservazione rimasti dall anno precedente potesse interessarci  a prezzi altissimi   il market pi  vicino era a 4 km di distanza  guardia grande   ma almeno molto pi  economico e normalmente fornito di cibi freschi  ottima la carne   per questioni logistiche abbiamo prolungato la permanenza di un giorno  ma non ci   stato fatto neanche 1 euro di sconto su quanto previsto dal listino  nonostante i servizi mancanti ","Neg","Sassari","Other Facilities"
"Hotel 195",219,"unbelievably noisey air con in the breakfast room  really iritataded me ","Neg","Cagliari","Other Facilities"
"Hotel 489",496,"il bagno infissi porta d  ingresso camera","Neg","Olbia-Tempio","4-Star"
"Hotel 489",202,"l hotel ha una nuova gestione il personale ha molto entusiasmo e sono tutti gentilissimi la colazione   veramente ricchissima la struttura   vicinissima alla spiaggia 50 metri circa e con una camminata di 20 minuti circa si arriva al centro di alghero ","Pos","Olbia-Tempio","4-Star"
"Hotel 297",181,"mi e  piaciuto tutto","Neg","Cagliari","3-Star"
"Hotel 398",321,"la posizione e la colazione","Pos","Olbia-Tempio","4-Star"
"Hotel 508",33,"colazione buona   cena super","Pos","Olbia-Tempio","4-Star"
"Hotel 270",41,"la struttura   ben curata e accogliente la pulizia eccellente e lo staff gentile e disponibile sopratutto romina che con la sua gentilezza e cortesia    sempre pronta a esaudire le richieste dei clienti la posizione   ottima per uscire a piedi la sera e per raggiungere in macchina le spiagge pi  belle non abbiamo nulla di negativo da dire su questa struttura ci siamo trovati benissimo ","Pos","Medio Campidano","3-Star"
"Hotel 196",323,"the breakfast that was included with the room price was excellent  with a wide variety of food   the service was outstanding  the views from all around the hotel where breathtaking   the hotel and rooms where very very clean   the hotel spa had a hot bath that replicates the conditions of the dead sea    you can literally float in this bath without moving  it is fantastic   overall my stay at this hotel was brilliant ","Pos","Cagliari","4-Star"
"Hotel 221",23,"wifi only in common area","Neg","Ogliastra","3-Star"
"Hotel 426",17,"non solo non funziona il wifi nelle camere  funziona male anche nella hall   non funziona per nulla la rete telefonica mobile  con nessun operatore  non adatto se si devono tenere contatti con il resto del mondo ","Neg","Olbia-Tempio","4-Star"
"Hotel 171",420,"location and friendly staff  car parking a plus ","Pos","Oristano","4-Star"
"Hotel 459",155,"staff ottima qualit ","Pos","Olbia-Tempio","4-Star"
"Hotel 130",43,"posizione  pulizia  confort e colazione ","Pos","Cagliari","3-Star"
"Hotel 524",70,"camera matrimoniale piccolissima  dal letto toccavo il muro  scarafaggio nel bagno  la piscina piena di api nell acqua e formiche tante formiche nel bordo piscina  parcheggio al sole  ristorante non a la carte come scritto ma menu fisso  ","Neg","Olbia-Tempio","4-Star"
"Hotel 517",179,"ho trovato le stanze molto curate e confortevoli","Pos","Olbia-Tempio","3-Star"
"Hotel 539",253,"great location  comfortable hotel","Pos","Olbia-Tempio","3-Star"
"Hotel 301",192,"gentilezza del personale camera molto bella e pulita posione ottima per il centro paese e mare","Pos","Cagliari","Other Facilities"
"Hotel 519",64,"could have done with a safe and possibly a kettle for tea  coffee as in some of the other rooms","Neg","Sassari","3-Star"
"Hotel 615",32,"the bed was very comfortable and the room was spacious and clean  the staff were very friendly and helpful ","Pos",NA,NA
"Hotel 590",318,"cold water  a bit cold in the room and noisy heater  a bit far from the city center","Neg","Olbia-Tempio","4-Star"
"Hotel 237",126,"camera ospitale  pulita e spaziosa","Pos","Cagliari","3-Star"
"Hotel 580",51,"vista","Pos","Olbia-Tempio","3-Star"
"Hotel 118",455,"dinner was very poor at their restaurant  it was festival night so this may not be typical but it was easily the worst meal in a month of travel ","Neg","Ogliastra","3-Star"
"Hotel 316",36,"dreadful smells from the sewage system  intrusive music all day from the cafe opposite  the tap water is not drinkable but no water is provided in the rooms  no coffee or tea making equipment in the rooms  superior rooms are not superior  they just have a sea view but so do many of the cheaper rooms   don t bother with a superior one ","Neg","Cagliari","5-Star"
"Hotel 102",121,"la camera non soddisfa le aspettative  le foto differiscono dalla realt ","Neg","Cagliari","4-Star"
"Hotel 127",239,"location and view from restaurant","Pos","Oristano","4-Star"
"Hotel 179",26,"niente","Neg","Ogliastra","3-Star"
"Hotel 430",56,"la terrazza dove viene servita la colazione   davvero notevole ","Pos","Olbia-Tempio","3-Star"
"Hotel 201",15,"la posizione  eccezionale  proprio di fronte al porto  all attracco dei traghetti e al parcheggio gratuito  da l  hai la citt  della maddalena a portata di mano  per andare nelle varie cale   indispensabile prendere un qualunque mezzo  macchina  motociclo  ecc   ma almeno per uscire la sera si pu  gustare un buon vino senza il pensiero di farsi ritirare la patente  lo staff  sempre gentilissimo  disponibilissimo  potevi chiedere di tutto e a qualunque ora  informazioni su ristoranti  gite in barca  ecc  e il personale era sempre gentile e sorridente  ma cortesia vera  sentita  perch  ce l hai nel sangue  non finta e sforzata come succede in altri posti  gli arredi e la stanza erano conformi alle aspettative di un quattro stelle  la colazione  soprattutto quella  italiana  a base di torte  dolci  pasticceria ed altro  caff   cappuccini ed espressi erano preparati e portati al tavolo direttamente dallo staff  c era un ampissima scelta    croissant di almeno 5 tipi  cioccolato  crema  marmellata  integrale  questo sia in formato grande che piccolo   vuoto    torte almeno di 4 tipi  integrale ai frutti di bosco  margherita  all ananas  al cioccolato  quasi come una caprese     pasticceria variegata  muffin  bianco e cioccolato  mini muffins  minipaste  treccie al cioccolato  sfoglie alla crema  sfoglie alla marmellata e noci  donuts  cioccolato e altri gusti e pasticceria sarda quali pardule  ciambelline ecc  meno variegata quella continentale con uova strapazzate  bacon croccante  wurstel  prosciutto crudo e cotto  fontina ma anche pecorino sardo  pane  yogurt  ecc   a completare il tutto frutta fresca di stagione  frutta al pezzo  frutta secca  e bevande  succhi e te di tutti i tipi ","Pos","Cagliari","Other Facilities"
"Hotel 223",3,"alcuni camerieri non parlavano italiano  nella presentazione dell htl nel sito si parla fra i servizi offerti di spiaggia privata  in realt  la spiaggia   a pagamento  consumazioni bordo piscina ristorante care  esempio caprese 15  ","Neg","Oristano","5-Star"
"Hotel 359",58,"disponibilit  staff  posizione dell hotel","Pos","Sassari","Other Facilities"
"Hotel 428",59,"niente","Neg","Sassari","4-Star"
"Hotel 454",9,"il piatto doccia aveva una particolare ed eccessiva pendenza per cui si scivolava  non potendo soprattutto utilizzare la doccetta perch  l asta era fissa ","Neg","Sassari","3-Star"
"Hotel 352",21," nonostante avessimo prenotato una normale doppia fortunatamente ci   stata assegnata una stanza com terrazzo e vista sul mare  incredibile la finestra vista mare sopra il letto   gentilissimi anche le i ragazze i della reception  ","Pos","Olbia-Tempio","Other Facilities"
"Hotel 303",66,"simpatia e indicazioni del sig gildo ottimo rapporto qualit  prezzo delle cene posizione vicino alle spiagge pi  belle della zona ","Pos","Carbonia-Iglesias","Other Facilities"
"Hotel 147",10,"location was good the view amazing  breakfast good with a sea view ","Pos","Nuoro","Other Facilities"
"Hotel 563",13,"mancanza della cassaforte in camera e l aria condizionata poco regolabile e rumorosa  anche al minimo era forte  ","Neg","Olbia-Tempio","4-Star"
"Hotel 544",65,"close to airport but not under flight path  comfortable room  staff pleasant and helpful ","Pos","Olbia-Tempio","4-Star"
"Hotel 91",15,"struttura immersa nella natura con ristorante discreto  il men  fisso costa 20 euro ma   disponibile anche la carta  e piscina accogliente  ideale come base per visitare la sardegna del nord  indispensabile la macchina   comodo dall aeroporto di olbia  vi abbiamo soggiornato un unica notte in attesa di imbarcarci il giorno successivo  staff gentile e disponibile","Pos","Cagliari","Other Facilities"
"Hotel 525",413,"nulla","Neg","Olbia-Tempio","3-Star"
"Hotel 154",97,"  simpatia dello staff alla reception   posizione tranquilla   parcheggio ampio   colazione varia","Pos","Ogliastra","4-Star"
"Hotel 489",75,"il bagno era un po  datato  ma comunque molto pulito ","Neg","Olbia-Tempio","4-Star"
"Hotel 383",46,"stanza eccessiva mente calda infatti poi lo cambiata  l altra aveva un sacco di zanzare ","Neg","Olbia-Tempio","3-Star"
"Hotel 592",120,"c   sempre da migliorare  ma non in questo hotel  perfetto","Neg","Nuoro","4-Star"
"Hotel 243",60,"splendida vista","Pos","Cagliari","4-Star"
"Hotel 376",2,"disappointed the pool hasn t been cleaned for the whole time we stayed   expected  didn t expect to walk far to catch a bus to pula  would ve thought the hotel has their own shuttle travelling to pula every hour ","Neg","Sassari","3-Star"
"Hotel 500",25,"nice pool friendly staff clean room","Pos","Olbia-Tempio","3-Star"
"Hotel 172",35,"no outside window  just an internal one  with no fresh air  lots of noise ","Neg","Oristano","Other Facilities"
"Hotel 420",642,"the staff was great  the room cheap","Pos","Olbia-Tempio","3-Star"
"Hotel 301",114,"il messaggio un po  scomodo","Neg","Cagliari","Other Facilities"
"Hotel 381",259,"disponibilita","Pos","Sassari","4-Star"
"Hotel 55",111,"pulizia e manutenzione ambienti interni ed esterni superlativa  camera confortevole ","Pos","Carbonia-Iglesias","Other Facilities"
"Hotel 2",188,"easy access to the beach   just out the back door","Pos","Cagliari","1-Star"
"Hotel 400",271,"staff edicato  gentile  disponibile  colazione offre parecchie scelte ","Pos","Olbia-Tempio","4-Star"
"Hotel 82",70,"la tranquillit   una vera oasi di pace immersa nella vera natura sarda a pochi chilometri dalle spiagge pi  belle della sardegna del sud  la struttura   ubicata in una zona molto bella e panoramica e dispone di una bella piscina in cui rinfrescarsi al ritorno dalla spiaggia  le camere sono molto fresche  anche nelle giornate pi  calde  ottima anche la pizza servita dal ristorante  un particolare ringraziamento al titolare matteo  il quale con simpatia ci ha raccontato della sua sardegna ","Pos","Ogliastra","3-Star"
"Hotel 411",223,"luce di sicurezza notturna troppo luminosa","Neg","Olbia-Tempio","5-Star"
"Hotel 553",138,"most staff are friendly except for one reception   we don t know her name  she checked us in on 25 july at about 1pm   she was rude and impatient with questions  simple questions like where could we park  how to manage the self regulated air cond etc    she got annoyed  from the look  even at the first question ","Neg","Sassari","4-Star"
"Hotel 211",4,"personale colazione improponibile  peli di gatto ovunque nella sala colazioni aria condizionata a pagamento  cambio asciugamani ogni 3 gg","Neg","Carbonia-Iglesias","3-Star"
"Hotel 268",66,"purtroppo tempo uggioso ","Neg","Cagliari","4-Star"
"Hotel 69",30,"la quiete e l atmosfera rilassante","Neg","Cagliari","4-Star"
"Hotel 21",34,"veramente ottimo  tutti gentilissimi  belle camere ampie  ottima vista  insomma  nulla da eccepire","Pos","Ogliastra","3-Star"
"Hotel 532",106,"great location for trekking  tasty food and wine  and an amazing friendly and helpful staff ","Pos","Sassari","3-Star"
"Hotel 265",149,"la stanza e il servizio","Pos","Nuoro","3-Star"
"Hotel 600",94,"pulizia e staff","Pos","Sassari","2-Star"
"Hotel 69",67,"  watch out for the entrance gate   it is easy to miss especially when arriving for the first time","Neg","Cagliari","4-Star"
"Hotel 95",4,"great animation team    loved the included wine with dinner    took boats to many beaches   ","Pos","Cagliari","Other Facilities"
"Hotel 128",16,"posizione centralissima  personale molto cortese e disponibile  camere molto spaziose  comodo il parcheggio adiacente  wi fi perfetto  climatizzazione efficiente  colazione molto buona  preparata anche alla buon ora per chi ha esigenze di traghetto ","Pos","Carbonia-Iglesias","3-Star"
"Hotel 45",352,"lo staff   ","Pos","Medio Campidano","Other Facilities"
"Hotel 478",118,"la camera","Neg","Olbia-Tempio","4-Star"
"Hotel 398",308,"struttura vecchia e colazione povera","Neg","Olbia-Tempio","4-Star"
"Hotel 51",11,"the pool was gorgeous the beautiful beach a short walk away beautiful garden setting amazing weather early july  friendly staff so relaxing","Pos","Cagliari","5-Star"
"Hotel 433",76,"posizione  cortesia del personale  spazio bar interno accogliente e organizzato  buona colazione e vista spettacolare sulla citt   letto comodo e camera ampia  strategico per visita citt  o eventi sportivi ","Pos","Sassari","Other Facilities"
"Hotel 118",203,"eccezionale anche per la colazione senza glutine","Pos","Ogliastra","3-Star"
"Hotel 201",25,"struttura centralissima  davvero molto confortevole  personale gentilissimo e professionale  un plauso particolare alla cortesia della signora veronica   colazione davvero varia  ottimo rapporto qualit  prezzo ","Pos","Cagliari","Other Facilities"
"Hotel 383",261,"the staff are wonderful   they do everything possible to make your stay perfect  i liked the d cor  the room was spacious and spotless and it is without doubt the best continental breakfast  i would definitely recommend this hotel","Pos","Olbia-Tempio","3-Star"
"Hotel 89",23,"se devo trovare il pelo nell uovo la nostra stanza era un po  buia    ma credo che se avessimo chiesto un cambio camera ci avrebbero accontentato sicuramente  ","Neg","Cagliari","Other Facilities"
"Hotel 341",8,"la colazione scadente  camera e servizi igienici discreti ","Neg","Nuoro","3-Star"
"Hotel 407",22,"posizione e vista","Pos","Sassari","3-Star"
"Hotel 464",10,"staff gentilissimo il corpo centrale dell hotel caratteristico e con una bella vista su tutto il parco ","Pos","Olbia-Tempio","2-Star"
"Hotel 270",72,"si potrebbe migliorare la colazione","Neg","Medio Campidano","3-Star"
"Hotel 274",405,"  good wifi connection   clean rooms    central location    nice bathroom","Pos","Nuoro","4-Star"
"Hotel 339",165,"la stanza spaziosa a e luminosa ","Pos","Sassari","Other Facilities"
"Hotel 153",112,"hotel bar is very quiet and no music  breakfast is minimal but to be expected in europe ","Neg","Oristano","Other Facilities"
"Hotel 96",101,"alcuni dettagli nelle camere da modernizzare","Neg","Ogliastra","3-Star"
"Hotel 153",1,"nonostante la mezza pensione pagata il maitre e i camerieri storcevano il naso ogni qualvolta si chiedesse un piatto in pi    addirittura alle 21 20  orario di cena 19 30 21 30  mi   stato detto che non potevo prendere il bis di secondo perch  i cuochi erano andati via    imbarazzante","Neg","Oristano","Other Facilities"
"Hotel 278",279,"it was just a very nice place  in the era of all inclusive  4 5 stars establishments with all sorts of equipment  a good reminder that even more modest hotels can be a really relaxing good experience ","Pos","Cagliari","3-Star"
"Hotel 594",86,"amazing staff  met our every request  the room had a great shower and a lovely balcony with a clothes drier  breakfast was best of the holiday with amazing yogurt and ricotta  meats  cakes and breads  although no parking mentioned on booking com plenty available outside hotel door ","Pos","Olbia-Tempio","3-Star"
"Hotel 366",67,"le colazioni e la gentilezza di martina","Pos","Sassari","4-Star"
"Hotel 45",401,"va gi  bene cosi","Neg","Medio Campidano","Other Facilities"
"Hotel 73",194,"niente da aggiungere","Neg","Ogliastra","3-Star"
"Hotel 349",109,"i have never such a friendly chief there    he was always greeting the guests and also kicking his employees asses if the will not come trought the wishes of the guests    nice guy    will come back again several times   200 points from 100     ","Pos","Olbia-Tempio","3-Star"
"Hotel 292",93,"la cucina","Pos","Nuoro","Other Facilities"
"Hotel 589",48,"camera spaziosa e molto carina  ambiente generale piacevole","Pos","Olbia-Tempio","4-Star"
"Hotel 297",70,"posizione perfetta per il centro e per spostarsi in treno aereo  la comodit  del letto e dei cuscini   impagabile ","Pos","Cagliari","3-Star"
"Hotel 297",404,"small bathroom ","Neg","Cagliari","3-Star"
"Hotel 411",95,"e  stato tutto perfetto  la camera accogliente  la vista sul mare veramente bella  la colazione gustosa e invitante  la prenotazione   stata veloce e immediata  le comunicazioni con l hotel rapide  e senza problemi ","Pos","Olbia-Tempio","5-Star"
"Hotel 265",128,"niente","Neg","Nuoro","3-Star"
"Hotel 265",176,"posizione ottima  pulizia accurata e personale gentilissimo ","Pos","Nuoro","3-Star"
"Hotel 31",23,"breakfast   an emphasis on local products  variety and beautiful presentation   the hotel has a well deserved reputation for fine food   eat in if you can   the evening meal was a bit pricey   but quite an experience   if their restaurant isn t open the very helpful staff will recommend other excellent local eateries  free  secure parking is available  friendly  english speaking staff ","Pos","Cagliari","Other Facilities"
"Hotel 171",92,"arrivati in albergo la prima cosa che hanno chiesto pagamento in anticipo  albergo scadente ci hanno messo al primo piano sembravano in uno sgabuzzino arredamento vecchio e ridotto male  vasca da bagno con box doccia instabile   colazione niente di che  personale freddo accoglienza non sanno nemmeno cosa significhi  hanno fatto casini con la prenotazione  che pena","Neg","Oristano","4-Star"
"Hotel 3",70,"staff accogliente e disponibile  posizione a 2 6 km dal mare e ben ventilata  malgrado la temperatura fosse alta era ben mitigata dalla brezza  alcune sere abbiamo cenato  il menu era pi  che soddisfacente e il prezzo buono  20 euro per primo   secondo  contorno  dolce  caff  e digestivo  di solito non torno negli stessi posti perch  voglio sperimentare posti nuovi ma lo consiglio vivamente","Pos","Sassari","3-Star"
"Hotel 145",89,"the beach was very close to the hotel and the restaurant on the beach was very good   bikes were available and it was about a 15minute ride to pelosa beach which is amazing beautiful  the staff was friendly   our room had roof terrace with beach and was great to watch the sunset  the hotel grounds were well kept with plenty of outdoor seating  lots of activities for families with young children ","Pos","Cagliari","3-Star"
"Hotel 457",208,"the hotel has beautiful decor  friendly and helpful staff  free bicycle use and great restaurant next door  the room we had was huge with big ensuite bathroom and was very comfortable  we stayed 4 nights and loved it ","Pos","Olbia-Tempio","4-Star"
"Hotel 250",2,"ci era stato consigliato un ristorante che va per la maggiore ma credo che avremmo mangiato molto meglio all interno dell albergo  i letti singoli erano veramente piccoli   per non dire stretti","Pos","Cagliari","3-Star"
"Hotel 216",9,"alloggi molto carini ed accoglienti  location un po  fuori dal centro abitato ma dotata di tutti i comfort  ristorante e bar nello stesso complesso   molto suggestiva la vista notturna sul castello  ottima pulizia e gentilezza dello staff ","Pos","Ogliastra","4-Star"
"Hotel 368",39,"silenzio  pulizia  cortesia del personale  tramonto mozzafiato  e al ristorante spicca la simpatia di sabrina che ci ha fatto sentire come a casa ","Pos","Olbia-Tempio","Other Facilities"
"Hotel 45",498,"l unico neo riguarda il materasso non proprio comodo ","Neg","Medio Campidano","Other Facilities"
"Hotel 58",354,"la gentilezza e la disponibilit  del personale  la variet  e la disponibilit  di cibi durante i pasti ","Pos","Cagliari","4-Star"
"Hotel 616",19,"calorosa accoglienza con utilissime indicazioni e consegna di mappa dei luoghi  si tratta di una struttura nuova a pochi minuti a piedi dal centro  oltre che vicina ad un buon ristorante  il giardino  e ad un supermercato   ","Pos",NA,NA
"Hotel 327",136,"magari se ci fosse un piccolo bar per qualche caff  o bibita nel hotel era perfetto ah tutto","Neg","Olbia-Tempio","3-Star"
"Hotel 83",126,"shower controls ","Neg","Cagliari","4-Star"
"Hotel 489",107,"praticamente nulla tranne la receptionist molto cortese ","Pos","Olbia-Tempio","4-Star"
"Hotel 332",12,"hotel situato in ottima posizione  a cinque minuti a piedi dal centro  ottimo per il parcheggio  stanze panoramiche con vista sul mare  molto belle e pulitissime  staff veramente cordiale e professionale  ristorante da 5 stelle  siamo stati benissimo  molto consigliato ","Pos","Sassari","3-Star"
"Hotel 424",38,"bellissima la casa e molto rilassante il soggiorno  una cena abbondante  una colazione perfetta  tutto con prodotti fatto a casa e a mano  gentilissimi lo staff  sempre con un sorriso e sempre di aiuto  ero contentissima   ","Pos","Sassari","3-Star"
"Hotel 345",75,"very high car hire price ","Neg","Olbia-Tempio","4-Star"
"Hotel 278",28,"colazione da rendere assolutamente pi  varia e da migliorare nella qualit   e  necessario aggiungere qualche oggetto mobile di appoggio in camera  lo spazio non manca e aumenterebbe il comfort ","Neg","Cagliari","3-Star"
"Hotel 337",61,"struttura nuova vicina alla spiaggia di barisardo parcheggio privato ottima colazione servita nella veranda","Pos","Olbia-Tempio","4-Star"
"Hotel 349",60,"non molta variet ","Neg","Olbia-Tempio","3-Star"
